User_ID,User_Full_Name,User_Email,User_Phone,User_Password_Hash,User_Role,User_Status,User_Created_At,User_Nationality,User_BirthDate,Property_ID,Property_Title,Property_Description,Property_Type,Room_Type,Property_City,Property_District,Property_Address,Property_Base_Price,Property_Max_Guests,Property_Rating_Avg,Property_Created_At,Host_ID,Host_Since,Photo_URL,Photo_Is_Primary,Photo_Sort_Order,Amenity_Name,Amenity_Icon,Booking_ID,Booking_CheckIn,Booking_CheckOut,Booking_Guest_Count,Booking_Total_Price,Booking_Status,Booking_Created_At,Payment_ID,Payment_Amount,Payment_Method,Payment_Status,Transaction_Ref,Payment_Date,Review_ID,Review_Rating,Review_Comment,Review_Created_At,Card_Holder,Card_Number_Masked,Card_Expiry
12,Sibel Yılmaz,user12@hms.com,05000000012,hash_11,host,active,2024-01-01,T.C.,1990-01-01,12,İstanbul Beşiktaş Apartman,Açıklama...,Müstakil Ev,Entire place,İstanbul,Beşiktaş,Adres No:12,2536,3,2,2024-05-01,3,2024-01-01,image_12.png,TRUE,0,Otopark,fa-car,,,,5,7608,,,,0,Credit Card,completed,T-11,,,1,Güzeldi.,,,**** 5223,12/2026
13,Ayşe Şahin,user13@hms.com,05000000013,hash_12,host,active,2024-01-01,T.C.,1990-01-01,13,İzmir Konak Apartman,Açıklama...,Stüdyo,Entire place,İzmir,Konak,Adres No:13,824,10,3,2024-05-01,4,2024-01-01,image_13.png,TRUE,0,WiFi,fa-wifi,1012,2026-10-05,,2,2472,completed,,12,2472,Credit Card,completed,T-12,,12,1,Güzeldi.,,,**** 7204,12/2026
14,Ece Ekinci,user14@hms.com,05000000014,hash_13,host,inactive,2024-01-01,T.C.,1990-01-01,14,Trabzon Ortahisar Apartman,Açıklama...,Apartman,Entire place,Trabzon,Ortahisar,Adres No:14,390,3,4,2024-05-01,5,2024-01-01,image_14.png,TRUE,0,Mutfak,fa-utensils,,,,4,1170,,,,0,Credit Card,completed,T-13,,,2,Güzeldi.,,,**** 6187,12/2026
15,Mehmet Şahin,user15@hms.com,05000000015,hash_14,admin,suspended,2024-01-01,T.C.,1990-01-01,15,Trabzon Akçaabat Apartman,Açıklama...,Stüdyo,Entire place,Trabzon,Akçaabat,Adres No:15,2292,9,5,2024-05-01,6,2024-01-01,image_15.png,TRUE,0,WiFi,fa-wifi,,,,3,6876,,,,0,Credit Card,completed,T-14,,14,1,Güzeldi.,,,**** 7780,12/2026
16,Murat Şahin,user16@hms.com,05000000016,hash_15,host,active,2024-01-01,T.C.,1990-01-01,16,Trabzon Akçaabat Villa,Açıklama...,Stüdyo,Entire place,Trabzon,Akçaabat,Adres No:16,1496,3,1,2024-05-01,7,2024-01-01,image_16.png,TRUE,0,Mutfak,fa-utensils,1015,2026-11-03,,1,4488,completed,,15,4488,Credit Card,completed,T-15,,,2,Güzeldi.,,,**** 7192,12/2026
17,Mert Şahin,user17@hms.com,05000000017,hash_16,guest,suspended,2024-01-01,T.C.,1990-01-01,17,Bursa Nilüfer Müstakil Ev,Açıklama...,Villa,Entire place,Bursa,Nilüfer,Adres No:17,618,5,2,2024-05-01,8,2024-01-01,image_17.png,TRUE,0,Klima,fa-snowflake,,,,4,1854,,,,0,Credit Card,completed,T-16,,16,1,Güzeldi.,,Mert Şahin,**** 2879,12/2026
18,Murat Şahin,user18@hms.com,05000000018,hash_17,host,suspended,2024-01-01,T.C.,1990-01-01,18,Antalya Muratpaşa Stüdyo,Açıklama...,Müstakil Ev,Entire place,Antalya,Muratpaşa,Adres No:18,541,8,3,2024-05-01,9,2024-01-01,image_18.png,TRUE,0,Klima,fa-snowflake,,,,3,1623,,,,0,Credit Card,completed,T-17,,,4,Güzeldi.,,,**** 5161,12/2026
19,Fatma Koç,user19@hms.com,05000000019,hash_18,admin,suspended,2024-01-01,T.C.,1990-01-01,19,İzmir Konak Apartman,Açıklama...,Stüdyo,Entire place,İzmir,Konak,Adres No:19,2863,10,4,2024-05-01,10,2024-01-01,image_19.png,TRUE,0,TV,fa-tv,1018,2026-12-07,,5,8589,completed,,18,8589,Credit Card,completed,T-18,,18,4,Güzeldi.,,,**** 4710,12/2026
20,Can Şahin,user20@hms.com,05000000020,hash_19,admin,inactive,2024-01-01,T.C.,1990-01-01,20,Muğla Fethiye Villa,Açıklama...,Apartman,Entire place,Muğla,Fethiye,Adres No:20,3488,8,5,2024-05-01,1,2024-01-01,image_20.png,TRUE,0,Klima,fa-snowflake,,,,1,10464,,,,0,Credit Card,completed,T-19,,,2,Güzeldi.,,,**** 4641,12/2026
21,Ece Kaya,user21@hms.com,05000000021,hash_20,host,active,2024-01-01,T.C.,1990-01-01,21,İstanbul Fatih Stüdyo,Açıklama...,Apartman,Entire place,İstanbul,Fatih,Adres No:21,2872,9,1,2024-05-01,2,2024-01-01,image_21.png,TRUE,0,TV,fa-tv,,,,4,8616,,,,0,Credit Card,completed,T-20,,20,5,Güzeldi.,,,**** 5120,12/2026
22,Can Çelik,user22@hms.com,05000000022,hash_21,host,suspended,2024-01-01,T.C.,1990-01-01,22,Eskişehir Tepebaşı Villa,Açıklama...,Loft,Entire place,Eskişehir,Tepebaşı,Adres No:22,2598,7,2,2024-05-01,3,2024-01-01,image_22.png,TRUE,0,Klima,fa-snowflake,1021,2026-08-08,,4,7794,completed,,21,7794,Credit Card,completed,T-21,,,3,Güzeldi.,,,**** 3538,12/2026
23,Ece Çelik,user23@hms.com,05000000023,hash_22,guest,inactive,2024-01-01,T.C.,1990-01-01,23,Trabzon Ortahisar Villa,Açıklama...,Villa,Entire place,Trabzon,Ortahisar,Adres No:23,2743,10,3,2024-05-01,4,2024-01-01,image_23.png,TRUE,0,Klima,fa-snowflake,,,,4,8229,,,,0,Credit Card,completed,T-22,,22,2,Güzeldi.,,Ece Çelik,**** 8786,12/2026
24,Hasan Çelik,user24@hms.com,05000000024,hash_23,admin,inactive,2024-01-01,T.C.,1990-01-01,24,Eskişehir Odunpazarı Müstakil Ev,Açıklama...,Stüdyo,Entire place,Eskişehir,Odunpazarı,Adres No:24,4740,2,4,2024-05-01,5,2024-01-01,image_24.png,TRUE,0,Otopark,fa-car,,,,1,14220,,,,0,Credit Card,completed,T-23,,,4,Güzeldi.,,,**** 8364,12/2026
25,Derya Korkmaz,user25@hms.com,05000000025,hash_24,guest,active,2024-01-01,T.C.,1990-01-01,25,Ankara Çankaya Loft,Açıklama...,Stüdyo,Entire place,Ankara,Çankaya,Adres No:25,2912,9,5,2024-05-01,6,2024-01-01,image_25.png,TRUE,0,TV,fa-tv,1024,2026-12-16,,2,8736,completed,,24,8736,Credit Card,completed,T-24,,24,5,Güzeldi.,,Derya Korkmaz,**** 5187,12/2026
26,Ayşe Kaya,user26@hms.com,05000000026,hash_25,host,suspended,2024-01-01,T.C.,1990-01-01,1,Trabzon Akçaabat Villa,Açıklama...,Apartman,Entire place,Trabzon,Akçaabat,Adres No:1,1930,7,1,2024-05-01,2,2024-01-01,image_1.png,TRUE,0,Otopark,fa-car,,,,4,5790,,,,0,Credit Card,completed,T-25,,,3,Güzeldi.,,,**** 8885,12/2026
27,Ece Şahin,user27@hms.com,05000000027,hash_26,guest,suspended,2024-01-01,T.C.,1990-01-01,2,Muğla Bodrum Apartman,Açıklama...,Stüdyo,Entire place,Muğla,Bodrum,Adres No:2,1706,9,2,2024-05-01,3,2024-01-01,image_2.png,TRUE,0,Mutfak,fa-utensils,,,,2,5118,,,,0,Credit Card,completed,T-26,,26,5,Güzeldi.,,Ece Şahin,**** 6142,12/2026
28,Hasan Yılmaz,user28@hms.com,05000000028,hash_27,guest,active,2024-01-01,T.C.,1990-01-01,3,Muğla Bodrum Apartman,Açıklama...,Stüdyo,Entire place,Muğla,Bodrum,Adres No:3,4739,9,3,2024-05-01,4,2024-01-01,image_3.png,TRUE,0,Otopark,fa-car,1027,2026-05-03,,1,14217,completed,,27,14217,Credit Card,completed,T-27,,,3,Güzeldi.,,Hasan Yılmaz,**** 9852,12/2026
29,Deniz Bulut,user29@hms.com,05000000029,hash_28,admin,active,2024-01-01,T.C.,1990-01-01,4,İstanbul Sarıyer Loft,Açıklama...,Loft,Entire place,İstanbul,Sarıyer,Adres No:4,2315,4,4,2024-05-01,5,2024-01-01,image_4.png,TRUE,0,Klima,fa-snowflake,,,,3,6945,,,,0,Credit Card,completed,T-28,,28,3,Güzeldi.,,,**** 7423,12/2026
30,Deniz Çelik,user30@hms.com,05000000030,hash_29,host,inactive,2024-01-01,T.C.,1990-01-01,5,Antalya Kaş Loft,Açıklama...,Müstakil Ev,Entire place,Antalya,Kaş,Adres No:5,2687,6,5,2024-05-01,6,2024-01-01,image_5.png,TRUE,0,WiFi,fa-wifi,,,,3,8061,,,,0,Credit Card,completed,T-29,,,3,Güzeldi.,,,**** 1720,12/2026
1,Deniz Tekin,user1@hms.com,05000000001,hash_30,admin,inactive,2024-01-01,T.C.,1990-01-01,6,Trabzon Akçaabat Apartman,Açıklama...,Müstakil Ev,Entire place,Trabzon,Akçaabat,Adres No:6,2018,6,1,2024-05-01,7,2024-01-01,image_6.png,TRUE,0,WiFi,fa-wifi,1030,2026-01-25,,2,6054,completed,,30,6054,Credit Card,completed,T-30,,30,1,Güzeldi.,,,**** 8526,12/2026
2,Sinan Tekin,user2@hms.com,05000000002,hash_31,host,suspended,2024-01-01,T.C.,1990-01-01,7,Muğla Bodrum Apartman,Açıklama...,Müstakil Ev,Entire place,Muğla,Bodrum,Adres No:7,3378,8,2,2024-05-01,8,2024-01-01,image_7.png,TRUE,0,Klima,fa-snowflake,,,,1,10134,,,,0,Credit Card,completed,T-31,,,4,Güzeldi.,,,**** 5997,12/2026
3,Ayşe Yıldız,user3@hms.com,05000000003,hash_32,guest,suspended,2024-01-01,T.C.,1990-01-01,8,Eskişehir Odunpazarı Apartman,Açıklama...,Stüdyo,Entire place,Eskişehir,Odunpazarı,Adres No:8,3630,10,3,2024-05-01,9,2024-01-01,image_8.png,TRUE,0,Otopark,fa-car,,,,5,10890,,,,0,Credit Card,completed,T-32,,32,4,Güzeldi.,,Ayşe Yıldız,**** 3577,12/2026
4,Koray Öztürk,user4@hms.com,05000000004,hash_33,admin,inactive,2024-01-01,T.C.,1990-01-01,9,İzmir Alsancak Apartman,Açıklama...,Villa,Entire place,İzmir,Alsancak,Adres No:9,4181,10,4,2024-05-01,10,2024-01-01,image_9.png,TRUE,0,WiFi,fa-wifi,1033,2026-04-28,,3,12543,completed,,33,12543,Credit Card,completed,T-33,,,5,Güzeldi.,,,**** 7926,12/2026
5,Murat Engin,user5@hms.com,05000000005,hash_34,guest,inactive,2024-01-01,T.C.,1990-01-01,10,Antalya Alanya Apartman,Açıklama...,Villa,Entire place,Antalya,Alanya,Adres No:10,3976,7,5,2024-05-01,1,2024-01-01,image_10.png,TRUE,0,Otopark,fa-car,,,,2,11928,,,,0,Credit Card,completed,T-34,,34,3,Güzeldi.,,Murat Engin,**** 1544,12/2026
6,Can Ekinci,user6@hms.com,05000000006,hash_35,guest,suspended,2024-01-01,T.C.,1990-01-01,11,Bursa Nilüfer Loft,Açıklama...,Müstakil Ev,Entire place,Bursa,Nilüfer,Adres No:11,2456,5,1,2024-05-01,2,2024-01-01,image_11.png,TRUE,0,Mutfak,fa-utensils,,,,2,7368,,,,0,Credit Card,completed,T-35,,,1,Güzeldi.,,Can Ekinci,**** 1585,12/2026
7,Mehmet Kaya,user7@hms.com,05000000007,hash_36,host,suspended,2024-01-01,T.C.,1990-01-01,12,Trabzon Ortahisar Stüdyo,Açıklama...,Villa,Entire place,Trabzon,Ortahisar,Adres No:12,525,6,2,2024-05-01,3,2024-01-01,image_12.png,TRUE,0,Otopark,fa-car,1036,2026-01-28,,1,1575,completed,,36,1575,Credit Card,completed,T-36,,36,3,Güzeldi.,,,**** 5607,12/2026
8,Elif Şahin,user8@hms.com,05000000008,hash_37,guest,inactive,2024-01-01,T.C.,1990-01-01,13,İzmir Konak Loft,Açıklama...,Müstakil Ev,Entire place,İzmir,Konak,Adres No:13,3185,4,3,2024-05-01,4,2024-01-01,image_13.png,TRUE,0,TV,fa-tv,,,,1,9555,,,,0,Credit Card,completed,T-37,,,1,Güzeldi.,,Elif Şahin,**** 4555,12/2026
9,Fatma Tekin,user9@hms.com,05000000009,hash_38,host,suspended,2024-01-01,T.C.,1990-01-01,14,Antalya Kaş Apartman,Açıklama...,Villa,Entire place,Antalya,Kaş,Adres No:14,3323,10,4,2024-05-01,5,2024-01-01,image_14.png,TRUE,0,WiFi,fa-wifi,,,,3,9969,,,,0,Credit Card,completed,T-38,,38,3,Güzeldi.,,,**** 6314,12/2026
10,Zeynep Bulut,user10@hms.com,05000000010,hash_39,host,inactive,2024-01-01,T.C.,1990-01-01,15,Ankara Keçiören Loft,Açıklama...,Stüdyo,Entire place,Ankara,Keçiören,Adres No:15,1537,6,5,2024-05-01,6,2024-01-01,image_15.png,TRUE,0,Havuz,fa-swimming-pool,1039,2026-04-11,,4,4611,completed,,39,4611,Credit Card,completed,T-39,,,4,Güzeldi.,,,**** 4727,12/2026
11,Sinan Korkmaz,user11@hms.com,05000000011,hash_40,host,suspended,2024-01-01,T.C.,1990-01-01,16,İzmir Karşıyaka Stüdyo,Açıklama...,Stüdyo,Entire place,İzmir,Karşıyaka,Adres No:16,4699,10,1,2024-05-01,7,2024-01-01,image_16.png,TRUE,0,Havuz,fa-swimming-pool,,,,4,14097,,,,0,Credit Card,completed,T-40,,40,3,Güzeldi.,,,**** 6413,12/2026
12,Hasan Aydın,user12@hms.com,05000000012,hash_41,host,active,2024-01-01,T.C.,1990-01-01,17,Muğla Bodrum Müstakil Ev,Açıklama...,Villa,Entire place,Muğla,Bodrum,Adres No:17,4970,6,2,2024-05-01,8,2024-01-01,image_17.png,TRUE,0,TV,fa-tv,,,,5,14910,,,,0,Credit Card,completed,T-41,,,3,Güzeldi.,,,**** 1314,12/2026
13,Can Engin,user13@hms.com,05000000013,hash_42,guest,suspended,2024-01-01,T.C.,1990-01-01,18,İzmir Konak Loft,Açıklama...,Loft,Entire place,İzmir,Konak,Adres No:18,3273,8,3,2024-05-01,9,2024-01-01,image_18.png,TRUE,0,WiFi,fa-wifi,1042,2026-06-25,,2,9819,completed,,42,9819,Credit Card,completed,T-42,,42,3,Güzeldi.,,Can Engin,**** 6605,12/2026
14,Ayşe Koç,user14@hms.com,05000000014,hash_43,host,active,2024-01-01,T.C.,1990-01-01,19,Ankara Çankaya Villa,Açıklama...,Apartman,Entire place,Ankara,Çankaya,Adres No:19,2756,3,4,2024-05-01,10,2024-01-01,image_19.png,TRUE,0,TV,fa-tv,,,,4,8268,,,,0,Credit Card,completed,T-43,,,5,Güzeldi.,,,**** 7451,12/2026
15,Elif Çelik,user15@hms.com,05000000015,hash_44,admin,active,2024-01-01,T.C.,1990-01-01,20,İzmir Alsancak Müstakil Ev,Açıklama...,Stüdyo,Entire place,İzmir,Alsancak,Adres No:20,2229,5,5,2024-05-01,1,2024-01-01,image_20.png,TRUE,0,Havuz,fa-swimming-pool,,,,4,6687,,,,0,Credit Card,completed,T-44,,44,3,Güzeldi.,,,**** 1105,12/2026
16,Deniz Şahin,user16@hms.com,05000000016,hash_45,admin,suspended,2024-01-01,T.C.,1990-01-01,21,Antalya Kaş Apartman,Açıklama...,Müstakil Ev,Entire place,Antalya,Kaş,Adres No:21,1758,7,1,2024-05-01,2,2024-01-01,image_21.png,TRUE,0,TV,fa-tv,1045,2026-06-16,,3,5274,completed,,45,5274,Credit Card,completed,T-45,,,1,Güzeldi.,,,**** 8179,12/2026
17,Elif Yılmaz,user17@hms.com,05000000017,hash_46,guest,inactive,2024-01-01,T.C.,1990-01-01,22,İzmir Karşıyaka Müstakil Ev,Açıklama...,Apartman,Entire place,İzmir,Karşıyaka,Adres No:22,3333,8,2,2024-05-01,3,2024-01-01,image_22.png,TRUE,0,Otopark,fa-car,,,,5,9999,,,,0,Credit Card,completed,T-46,,46,5,Güzeldi.,,Elif Yılmaz,**** 2394,12/2026
18,Ahmet Aras,user18@hms.com,05000000018,hash_47,admin,inactive,2024-01-01,T.C.,1990-01-01,23,Ankara Yenimahalle Stüdyo,Açıklama...,Loft,Entire place,Ankara,Yenimahalle,Adres No:23,406,3,3,2024-05-01,4,2024-01-01,image_23.png,TRUE,0,WiFi,fa-wifi,,,,1,1218,,,,0,Credit Card,completed,T-47,,,2,Güzeldi.,,,**** 2729,12/2026
19,Can Tekin,user19@hms.com,05000000019,hash_48,host,active,2024-01-01,T.C.,1990-01-01,24,Ankara Keçiören Müstakil Ev,Açıklama...,Apartman,Entire place,Ankara,Keçiören,Adres No:24,3694,6,4,2024-05-01,5,2024-01-01,image_24.png,TRUE,0,Havuz,fa-swimming-pool,1048,2026-09-28,,1,11082,completed,,48,11082,Credit Card,completed,T-48,,48,3,Güzeldi.,,,**** 1868,12/2026
20,Ahmet Ekinci,user20@hms.com,05000000020,hash_49,host,active,2024-01-01,T.C.,1990-01-01,25,Antalya Kaş Apartman,Açıklama...,Müstakil Ev,Entire place,Antalya,Kaş,Adres No:25,4012,8,5,2024-05-01,6,2024-01-01,image_25.png,TRUE,0,Otopark,fa-car,,,,3,12036,,,,0,Credit Card,completed,T-49,,,2,Güzeldi.,,,**** 9487,12/2026
21,Elif Kaya,user21@hms.com,05000000021,hash_50,guest,inactive,2024-01-01,T.C.,1990-01-01,1,Ankara Yenimahalle Villa,Açıklama...,Müstakil Ev,Entire place,Ankara,Yenimahalle,Adres No:1,3918,5,1,2024-05-01,2,2024-01-01,image_1.png,TRUE,0,TV,fa-tv,,,,3,11754,,,,0,Credit Card,completed,T-50,,50,3,Güzeldi.,,Elif Kaya,**** 3210,12/2026
22,Deniz Yılmaz,user22@hms.com,05000000022,hash_51,host,suspended,2024-01-01,T.C.,1990-01-01,2,Antalya Kaş Müstakil Ev,Açıklama...,Villa,Entire place,Antalya,Kaş,Adres No:2,3532,8,2,2024-05-01,3,2024-01-01,image_2.png,TRUE,0,Havuz,fa-swimming-pool,1051,2026-07-16,,5,10596,completed,,51,10596,Credit Card,completed,T-51,,,3,Güzeldi.,,,**** 1108,12/2026
23,Hasan Ekinci,user23@hms.com,05000000023,hash_52,admin,suspended,2024-01-01,T.C.,1990-01-01,3,Muğla Marmaris Apartman,Açıklama...,Apartman,Entire place,Muğla,Marmaris,Adres No:3,1458,6,3,2024-05-01,4,2024-01-01,image_3.png,TRUE,0,Havuz,fa-swimming-pool,,,,2,4374,,,,0,Credit Card,completed,T-52,,52,5,Güzeldi.,,,**** 3832,12/2026
24,Koray Demir,user24@hms.com,05000000024,hash_53,admin,suspended,2024-01-01,T.C.,1990-01-01,4,Eskişehir Odunpazarı Loft,Açıklama...,Stüdyo,Entire place,Eskişehir,Odunpazarı,Adres No:4,3424,4,4,2024-05-01,5,2024-01-01,image_4.png,TRUE,0,TV,fa-tv,,,,4,10272,,,,0,Credit Card,completed,T-53,,,3,Güzeldi.,,,**** 4040,12/2026
25,Hasan Öztürk,user25@hms.com,05000000025,hash_54,admin,inactive,2024-01-01,T.C.,1990-01-01,5,Muğla Marmaris Loft,Açıklama...,Müstakil Ev,Entire place,Muğla,Marmaris,Adres No:5,2745,5,5,2024-05-01,6,2024-01-01,image_5.png,TRUE,0,Otopark,fa-car,1054,2026-11-08,,3,8235,completed,,54,8235,Credit Card,completed,T-54,,54,1,Güzeldi.,,,**** 3360,12/2026
26,Ahmet Demir,user26@hms.com,05000000026,hash_55,admin,active,2024-01-01,T.C.,1990-01-01,6,Bursa Osmangazi Apartman,Açıklama...,Müstakil Ev,Entire place,Bursa,Osmangazi,Adres No:6,4595,5,1,2024-05-01,7,2024-01-01,image_6.png,TRUE,0,Mutfak,fa-utensils,,,,4,13785,,,,0,Credit Card,completed,T-55,,,2,Güzeldi.,,,**** 9739,12/2026
27,Elif Yıldız,user27@hms.com,05000000027,hash_56,guest,active,2024-01-01,T.C.,1990-01-01,7,İstanbul Fatih Stüdyo,Açıklama...,Müstakil Ev,Entire place,İstanbul,Fatih,Adres No:7,2101,7,2,2024-05-01,8,2024-01-01,image_7.png,TRUE,0,Mutfak,fa-utensils,,,,5,6303,,,,0,Credit Card,completed,T-56,,56,1,Güzeldi.,,Elif Yıldız,**** 4238,12/2026
28,Hasan Yılmaz,user28@hms.com,05000000028,hash_57,admin,inactive,2024-01-01,T.C.,1990-01-01,8,Antalya Kaş Loft,Açıklama...,Stüdyo,Entire place,Antalya,Kaş,Adres No:8,4538,8,3,2024-05-01,9,2024-01-01,image_8.png,TRUE,0,Mutfak,fa-utensils,1057,2026-04-25,,1,13614,completed,,57,13614,Credit Card,completed,T-57,,,3,Güzeldi.,,,**** 7279,12/2026
29,Zeynep Öztürk,user29@hms.com,05000000029,hash_58,host,inactive,2024-01-01,T.C.,1990-01-01,9,Muğla Bodrum Müstakil Ev,Açıklama...,Müstakil Ev,Entire place,Muğla,Bodrum,Adres No:9,3686,7,4,2024-05-01,10,2024-01-01,image_9.png,TRUE,0,TV,fa-tv,,,,5,11058,,,,0,Credit Card,completed,T-58,,58,5,Güzeldi.,,,**** 3072,12/2026
30,Hasan Şahin,user30@hms.com,05000000030,hash_59,host,active,2024-01-01,T.C.,1990-01-01,10,Muğla Bodrum Villa,Açıklama...,Villa,Entire place,Muğla,Bodrum,Adres No:10,4814,7,5,2024-05-01,1,2024-01-01,image_10.png,TRUE,0,Mutfak,fa-utensils,,,,5,14442,,,,0,Credit Card,completed,T-59,,,5,Güzeldi.,,,**** 1827,12/2026
1,Can Çelik,user1@hms.com,05000000001,hash_60,admin,inactive,2024-01-01,T.C.,1990-01-01,11,Trabzon Akçaabat Apartman,Açıklama...,Stüdyo,Entire place,Trabzon,Akçaabat,Adres No:11,3057,8,1,2024-05-01,2,2024-01-01,image_11.png,TRUE,0,Mutfak,fa-utensils,1060,2026-03-28,,2,9171,completed,,60,9171,Credit Card,completed,T-60,,60,1,Güzeldi.,,,**** 9408,12/2026
2,Gökhan Demir,user2@hms.com,05000000002,hash_61,host,active,2024-01-01,T.C.,1990-01-01,12,Bursa Osmangazi Apartman,Açıklama...,Apartman,Entire place,Bursa,Osmangazi,Adres No:12,4201,9,2,2024-05-01,3,2024-01-01,image_12.png,TRUE,0,Mutfak,fa-utensils,,,,3,12603,,,,0,Credit Card,completed,T-61,,,2,Güzeldi.,,,**** 2300,12/2026
3,Ayşe Yıldız,user3@hms.com,05000000003,hash_62,admin,active,2024-01-01,T.C.,1990-01-01,13,Ankara Çankaya Apartman,Açıklama...,Villa,Entire place,Ankara,Çankaya,Adres No:13,2676,3,3,2024-05-01,4,2024-01-01,image_13.png,TRUE,0,Mutfak,fa-utensils,,,,1,8028,,,,0,Credit Card,completed,T-62,,62,2,Güzeldi.,,,**** 6750,12/2026
